Material Name,fiber_type,fiber_source,is_natural,is_renewable,is_recyclable,is_biodegradable,is_microplastic_pollutant,pro_tips,pro_read_more,con_tips,con_read_more,washing_tips,washing_read_more,fact_tips,fact_read_more,Sources
Tencel™ Lyocell fabric {Lenzing} ,Semi-Synthetic Plant Based,Cellulose (Wood Pulp),Semi-Synthetic,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Tencel™ Lyocell is soft, durable, and absorbent. It's a semi-synthetic fiber that begins as cellulose derived from sustainably sourced eucalyptus wood pulp.","Tencel™ Lyocell is soft, breathable, and absorbent. It's a semi-synthetic fiber that begins as cellulose derived from sustainably sourced eucalyptus wood pulp. It's closed-loop manufacturing process uses a non-toxic organic compound called NMNO, and is more eco-friendly than Viscose, Rayon, and Modal. ","The creation of eucalyptus pulpwood plantations for new material often requires destructive deforestation, even if plantations are sustainably managed.",,"Tencel™ Lyocell is best washed by hand in cold water, though some garments can be washed in a gentle cycle. Tumble dry on low or hang dry to avoid excess shrinkage and maintain garment integrity.  
","Tencel™ Lyocell is strong and wrinkle-resistant. Handwashing is best, though some garments can be washed in a gentle cycle with cold water. Tumble dry on low or hang dry to avoid excess shrinkage and maintain garment integrity.  
","Unlike conventional viscose and rayon, Tencel™ Lyocell is manufactured in a 99% closed-loop process using the biodegradable, non-toxic chemical NMMO (N-Methylmorpholine N-oxide). Tencel™ Lyocell differs from conventional lodal by using sustainably sourced and fully traceable raw materials.

","Tencel™ Lyocell manufacturing is significantly less resource-intensive than traditional viscose or rayon production. Unlike viscose and rayon, Tencel™ lyocell is manufactured in a 99% closed-loop process using the biodegradable, non-toxic chemical NMMO (N-Methylmorpholine N-oxide).  Tencel™ Lyocell differs from conventional lodal by using sustainably sourced and fully traceable raw materials.
",
Tencel™ Modal {Lenzing}Tencel,Semi-Synthetic Plant Based,Cellulose (Wood Pulp),Semi-Synthetic,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Tencel™ Modal is soft, breathable, and absorbent. It's a semi-synthetic fiber that begins as cellulose derived from sustainably sourced beech wood pulp.",,"The creation of beech pulpwood plantations for new material often requires destructive deforestation, even if plantations are sustainably managed.",,"Tencel™ Modal is best washed in a gentle cycle with cold or warm water. Modal will shrink in high heat, so tumble dry on low or hang dry to preserve fabric strength and garment shape. ","Tencel™ Modal is fairly durable and can be washed in a gentle cycle with cold or warm water. Modal will shrink in high heat, so tumble dry on low or hang dry to preserve fabric strength and garment shape. ","Tencel™ Modal manufacturing is significantly less resource-intensive than traditional modal, viscose or rayon production. Unlike its predecessors, Tencel™ Modal is manufactured in a 99% closed-loop process that relies on renewable energy sources. Tencel™ Modal differs from conventional lyocell by using sustainably sourced and fully traceable raw materials. ","Tencel™ Modal manufacturing is significantly less resource-intensive than traditional modal, viscose or rayon production. Unlike its predecessors, Tencel™ Modal is manufactured in a 99% closed-loop process that relies on renewable energy sources.  Tencel™ Modal differs from conventional lyocell by using sustainably sourced and fully traceable raw materials. ",
Ultramid B {BASF},Synthetic Plastic Derivative,Polymer Plastic,Synthetic,Non-Renewable,Recyclable,Not Biodegradable,Microplastic Pollutant,Ultramid® has excellent durability and elasticity. It's more lightweight and durable than polyester and acrylic.,,"Ultramid® is a non-biodegradable synthetic polymer plastic that's primarily derived from crude oil. One Ultramid® garment can shed thousands of microplastic filaments during a single wash cycle, contaminating water systems.",,Ultramid® is best washed in a gentle cycle with cold water to preserve fabric strength. Use a microplastic filter bag to catch stray fibers in the wash cycle. Hang dry to conserve energy and preserve fabric strength.,Ultramid® doesn't absorb sweat and thus needs to be washed more frequently than polyester or acrylic. It's best washed in a gentle cycle with cold water to preserve fabric strength. Use a microplastic filter bag to catch stray fibers in the wash cycle. Hang dry to conserve energy and preserve fabric strength.,"When washed and worn, Ultramid® sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 

","Ultramid® is a synthetic petroleum-based material derived from plastic. When washed and worn, Ultramid® sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 

",
Viscose/Rayon fabric from wood pulp,Semi-Synthetic Plant Based,Cellulose (Wood Pulp),Semi-Synthetic,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Viscose is a soft, absorbent, semi-synthetic fiber that begins as cellulose derived from renewable wood pulp.",,"The production process of Viscose and Rayon involves toxic chemicals such as sodium hydroxide and carbon disulfide, which can pollute the environment if not managed sustainably. ","The production process of Viscose and Rayon involves toxic chemicals such as sodium hydroxide and carbon disulfide, which can pollute the environment if not managed sustainably. The creation of pulpwood plantations often requires deforestation, a practice that has devastating social and environmental impacts.","Viscose is best hand washed in cold or warm water. Never put viscose in the dryer. Instead, hang dry to avoid excess shrinkage and pilling. ","Viscose is a delicate fabric, so hand washing is cold or warm water best. Never put viscose in the dryer. Instead, hang dry to avoid excess shrinkage and pilling. ","Deforestation, the removal of trees, causes habitat loss for our precious wildlife and is one of the largest causes of carbon emissions. It's crucial to ensure our forests are responsibly managed, and that our viscose products are sourced from responsible supply chains.  ","Deforestation, the removal of trees, causes habitat loss for our precious wildlife and is one of the largest causes of carbon emissions. It's crucial to ensure our forests are responsibly managed, and that our viscose products are sourced from responsible supply chains. 

Most forestland in the US is privately owned, so landowners often clear forests to enter more profitable industries such as farming, housing, or ranching. Viscose from responsibly sourced forests is typically more expensive, which allows landowners to be compensated fairly and disincentivizes excessive deforestation. ","https://goodonyou.eco/material-guide-viscose-really-better-environment/ 

https://cfda.com/resources/materials/detail/rayon-viscose 

https://www.thelaundress.com/how-to/viscose.html "
Wool fabric,Animal Based,Sheep,Natural,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,Wool is an incredibly warm and durable material that's biodegradable and renewable. ,,"Although shearing, the process of removing the wool from a sheep, is not harmful to the animal, animal welfare is always a concern.",,"Wool is best washed by hand in cold water. Never put wool in the dryer. Instead, lay flat to air dry to avoid excess shrinkage and stretching. Depill with a comb periodically to keep the fabric soft and smooth.","Wool naturally repels dirt and can thus be spot cleaned with cold water. When it needs a good cleaning, hand washing in cold water is best. If opting for machine washing, make sure it's on a delicate cycle. Never put wool in the dryer. Instead, lay flat to air dry to avoid excess shrinkage and stretching. Depill with a comb periodically to keep the fabric soft and smooth.","Wool is very durable and is thus a great garment to purchase second-hand. Purchasing second-hand wool can help you stay on budget, extend garment life, and ensure your purchase doesn't create further harm to our planet.","Like most animal-derived raw materials, waste generated from sheep used in wool production contributes to greenhouse gasses. However, free-range grazing animals and proper regenerative wool farming supports bio-sequestration, increases biodiversity, reduces water pollution and improves soil health. Supply chain transparency is crucial to ensure animal well-being and regenerative farming practices. 

Wool is very durable and is thus a great garment to purchase second-hand. Purchasing second-hand wool can help you stay on budget, extend garment life, and ensure your purchase doesn't create further harm to our planet.","https://cfda.com/resources/materials/detail/wool 

https://goodonyou.eco/material-guide-ethical-wool/ 

https://iwto.org/sustainability/

https://www.thelaundress.com/clean-talk-blog/clean-and-preserve-precious-wool-cashmere-at-home.html "
"Wool fabric, recycled",Animal Based,Sheep (Post-Consumer or Post-Industrial Waste),Natural,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,Recycled wool is an incredibly warm and durable material that's biodegradable and renewable. Recycled wool uses significantly less resources than virgin wool and keeps textile waste out of landfills.,,Recycled wool can be slightly more course and less durable than virgin wool.  ,,"Recycled wool is best washed by hand in cold water. Never put recycled wool in the dryer. Instead, lay flat to air dry to avoid excess shrinkage and stretching. Depill with a comb periodically to keep the fabric soft and smooth.","Recycled wool naturally repels dirt and can thus be spot cleaned with cold water. When it needs a good cleaning, hand washing in cold water is best. If opting for machine washing, make sure it's on a delicate cycle. Never put recycled wool in the dryer. Instead, lay flat to air dry to avoid excess shrinkage and stretching. Depill with a comb periodically to keep the fabric soft and smooth.","Wool recycling conserves valuable resources and reduces waste. Choosing recycled wool over virgin wool saves significant amounts of land use, energy, and greenhouse gas emissions, and supports a circular economy.",,
Duck Down insulation,Animal Based,Duck ,Natural,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Duck down insulation is an incredibly warm, fluffy and lightweight material that's biodegradable and renewable. ",,Most duck down insulation is harvested from birds through the painful process of live plucking. Animal welfare is a top concern. ,,"Duck down insulation is best washed by hand in cold water, though it can be machine washed on a gentle cycle. Tumble dry on low with a tennis ball to prevent clumping. Repeat the drying process until all moisture is gone to prevent odor and mildew. ",,"Although duck down has a low carbon footprint, down is usualy harvested through live plucking which is painful to the animal. Live harvesting can cause ducks to accidentally break their limbs when trying to escape this painful process. When possible, choose recycled duck down or traceable down from birds that have been treated ethically. ","Although duck down has a low carbon footprint, down is usualy harvested through live plucking which is painful to the animal. Live harvesting can cause ducks to accidentally break their limbs when trying to escape this painful process. 

Up to 80% of the world's down is produced in China, where there are currently no animal welfare laws in place. Therefore, animal welfare is of top concern.  When possible, choose recycled duck down or traceable down from birds that have been treated ethically. ","https://goodonyou.eco/animal-welfare-fashion/

https://www.rei.com/blog/camp/down-vs-synthetic-which-insulation-is-right-for-you 

https://www.thelaundress.com/how-to/down.html "
"Duck down, recycled",Animal Based,Duck ,Natural,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Duck down insulation is an incredibly warm, fluffy and lightweight material that's biodegradable and renewable. Recycled duck down uses significantly less resources than virgin duck down and keeps waste out of landfills. ",,Recycled duck down can be difficult to extract from garments and its orgins more difficult to trace. Recycled duck down may also be more expnesive than virgin duck down. ,,"Recycled duck down insulation is best washed by hand in cold water, though it can be machine washed on a gentle cycle. Tumble dry on low with a tennis ball to prevent clumping. Repeat the drying process until all moisture is gone to prevent odor and mildew. ",,"Recycled duck down offers the same warmth and fill power as virgin duck down, but has a significantly lower impact and avoids the risk of inflicting further harm to animals. ","Recycled duck down offers the same warmth and fill power as virgin duck down, but has a significantly lower impact and avoids the risk of inflicting further harm to animals. Choosing recycled duck down saves significant amounts of land use, water use, energy, and greenhouse gas emissions, and supports a circular economy.","https://goodonyou.eco/animal-welfare-fashion/

https://www.rei.com/blog/camp/down-vs-synthetic-which-insulation-is-right-for-you 

https://www.thelaundress.com/how-to/down.html 

https://www.patagonia.com/our-footprint/recycled-down.html 

http://prauden.co.kr/en/vol-14_5/ "
Goose Down insulation,Animal Based,Goose,Natural,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Goose down insulation is an incredibly warm, fluffy and lightweight material that's biodegradable and renewable. ",,Most goose down insulation is harvested from birds through the painful process of live plucking. Animal welfare is a top concern. ,,"Goose down insulation is best washed by hand in cold water, though it can be machine washed on a gentle cycle. Tumble dry on low with a tennis ball to prevent clumping. Repeat the drying process until all moisture is gone to prevent odor and mildew. ",,"Although goose down has a low carbon footprint, down is usualy harvested through live plucking which is painful to the animal. Live harvesting can cause geese to accidentally break their limbs when trying to escape this painful process. When possible, choose recycled goose down or traceable down from birds that have been treated ethically. ","Although goose down has a low carbon footprint, down is usualy harvested through live plucking which is painful to the animal. Live harvesting can cause geese to accidentally break their limbs when trying to escape this painful process. 

Up to 80% of the world's down is produced in China, where there are currently no animal welfare laws in place. Therefore, animal welfare is of top concern.  When possible, choose recycled goose down or traceable down from birds that have been treated ethically. ","https://goodonyou.eco/animal-welfare-fashion/

https://www.rei.com/blog/camp/down-vs-synthetic-which-insulation-is-right-for-you 

https://www.thelaundress.com/how-to/down.html "
"Goose down, recycled",Animal Based,Goose,Natural,Renewable,Recyclable,Biodegradable (when not dyed / dyed with natural pigments),Not a Microplastic Pollutant,"Goose down insulation is an incredibly warm, fluffy and lightweight material that's biodegradable and renewable. Recycled goose down uses significantly less resources than virgin goose down and keeps waste out of landfills. ",,Recycled goose down can be difficult to extract from garments and its orgins more difficult to trace. Recycled goose down may also be more expnesive than virgin goose down. ,,"Recycled goose down insulation is best washed by hand in cold water, though it can be machine washed on a gentle cycle. Tumble dry on low with a tennis ball to prevent clumping. Repeat the drying process until all moisture is gone to prevent odor and mildew. ",,"Recycled goose down offers the same warmth and fill power as virgin goose down, but has a significantly lower impact and avoids the risk of inflicting further harm to animals. ","Recycled goose down offers the same warmth and fill power as virgin goose down, but has a significantly lower impact and avoids the risk of inflicting further harm to animals. Choosing recycled goose down saves significant amounts of land use, water use, energy, and greenhouse gas emissions, and supports a circular economy.","https://goodonyou.eco/animal-welfare-fashion/

https://www.rei.com/blog/camp/down-vs-synthetic-which-insulation-is-right-for-you 

https://www.thelaundress.com/how-to/down.html 

https://www.patagonia.com/our-footprint/recycled-down.html 

http://prauden.co.kr/en/vol-14_5/ "
Polyester insulation,Synthetic Plastic Derivative,Polymer Plastic,Synthetic,Non-Renewable,Recyclable,Not Biodegradable,Microplastic Pollutant,"Polyester insulation is a warm, lightweight, water-resistant material that provides a less expensive vegan-friendly alternative to animal down. ",,"Polyester insulation is a non-biodegradable synthetic polymer plastic that's primarily derived from crude oil. One polyester-filled garment can shed thousands of microplastic filaments during a single wash cycle, contaminating water systems.",,Polyester insulation is best washed in a gentle cycle with cold or warm water. Use a microplastic filter bag to catch stray fibers in the wash cycle. Tumble dry on low with a tennis ball to prevent fiber clumping.,,"Polyester insulation is often used as a less expensive vegan-friendly alternative to animal down. However, polyester insulation is heavier, less warm, and less durable than animal down, and loses its insulation power when compressed. 

","Polyester insulation is often used as a less expensive vegan-friendly alternative to animal down. However, polyester insulation is heavier, less warm, and less durable than animal down, and loses its insulation power when compressed. 

When washed and worn, polyester sheds microplastic debris that pollute our water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood.","https://www.thelaundress.com/how-to/fiberfill.html 

https://www.rei.com/blog/camp/down-vs-synthetic-which-insulation-is-right-for-you 

https://goodonyou.eco/how-sustainable-is-polyester/ 

https://ecocult.com/exactly-polyester-bad-environment/ 


"
"Polyethylene terephthalate (PET), chemically (methanolysis) recycled, for insulation",Synthetic Plastic Derivative,Polymer Plastic,Synthetic,Non-Renewable,Recyclable,Not Biodegradable,Microplastic Pollutant,"Recycled polyester insulation uses less nonrenewable resources than virgin polyester insulation and keeps textile waste out of landfills, which supports the circular economy.",,"Recycled polyester insulation is still a non-biodegradable synthetic polymer plastic. One recycled polyester-filled garment can shed thousands of microplastic filaments during a single wash cycle, contaminating water systems.",,Recycled polyester insulation is best washed in a gentle cycle with cold or warm water. Use a microplastic filter bag to catch stray fibers in the wash cycle. Tumble dry on low with a tennis ball to prevent fiber clumping.,,"Recycled polyester insulation is often used as a less expensive vegan-friendly alternative to animal down. However, polyester insulation is heavier, less warm, and less durable than animal down, and loses its insulation power when compressed. 


","Recycled polyester insulation is often used as a less expensive vegan-friendly alternative to animal down. However, polyester insulation is heavier, less warm, and less durable than animal down, and loses its insulation power when compressed. 

Recycled polyester insulation is made from recycled plastic, but this isn't a solution to our plastic crisis. Since polyester is non-biodegradable, recycling plastics into polyester insulation simply changes what pollution looks like. Plastic bottles become microplastic filaments, which still make their way into our water streams. 

","https://www.thelaundress.com/how-to/fiberfill.html 

https://www.rei.com/blog/camp/down-vs-synthetic-which-insulation-is-right-for-you 

https://goodonyou.eco/how-sustainable-is-polyester/ 

https://ecocult.com/exactly-polyester-bad-environment/ 

"
Styrene-butadiene rubber (SBR),Synthetic Plastic Derivative,Polymer Plastic,Synthetic,Non-Renewable,Recyclable,Not Biodegradable,Microplastic Pollutant,"SBR rubber is incredibly durable, flexible and heat resistant synthetic rubber commonly used for shoe soles. ",,"SBR rubber is a non-biodegradable synthetic polymer plastic that's primarily derived from crude oil. SBR rubber shoe soles can shed microplastic particles during wear, which can contaminate soil and water systems.",,SBR rubber is best spot cleaned with a gentle soap or detergent and warm water. Air dry to prevent warping and maintain integrity of SBR shoe soles. ,,"When worn, SBR rubber sheds microplastic debris that pollute our soil and water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 

",,"https://www.lgchem.com/product/PD00000025 

http://generalpolymers.net/sbr.cfm 

"
Typical footwear rubber compound,Synthetic Plastic Derivative,Polymer Plastic,Synthetic,Non-Renewable,Recyclable,Not Biodegradable,Microplastic Pollutant,"Typical footwear rubber is a durable, flexible and heat resistant synthetic rubber commonly used for shoe soles. ",,"Though typical footwear rubber can contain a small amount of natural rubber, it is laregly a mix of  non-biodegradable synthetic polymer plastics derived from crude oil. Footwear rubber soles can shed microplastic particles during wear, which can contaminate soil and water systems.",,Typical footwear rubber is best spot cleaned with a gentle soap or detergent and warm water. Air dry to prevent warping and maintain integrity of rubber shoe soles. ,,"When worn, typical footwear rubber sheds microplastic debris that pollute our soil and water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 

",,"https://solecollector.com/news/2015/05/science-behind-sneaker-rubber 

https://shoes-report.com/articles/aktsenty/obuvnoy-likbez-iz-chego-delayutsya-obuvnye-podoshvy/ "
Epoxy plastic,Synthetic Plastic Derivative,Polymer Plastic,Synthetic,Non-Renewable,Recyclable,Not Biodegradable,Microplastic Pollutant,"Epoxy plastic, also known as epoxy resin, is a durable, crystal-clear hard plastic that's ideal for plastic jewelry",,"Epoxy plastic is a non-biodegradable synthetic polymer plastic that's primarily derived from crude oil. Epoxy plastic can shed microplastic particles as it degrades, which can contaminate soil and water systems.",,Epoxy plastic is best spot cleaned with a gentle soap and warm water. Dry and polish with a soft towel or chamois cloth. ,,"When it degrades, epoxy plastic sheds microplastic debris that pollute our soil and water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 

",,"https://acrylgiessen.com/en/how-to-make-resin-jewelry/ 

https://closebymejewelry.com/blogs/news/care-and-cleaning-for-resin-jewelry "
Polycarbonate (PC) plastic,Synthetic Plastic Derivative,Polymer Plastic,Synthetic,Non-Renewable,Recyclable,Not Biodegradable,Microplastic Pollutant,"Polycarbonate plastic is a durable, lightweight, crystal-clear hard plastic that's often used for plastic jewelry and eyewear lenses.",,"Polycarbonate plastic is a non-biodegradable synthetic polymer plastic that's primarily derived from crude oil. Polycarbonate plastic can shed microplastic particles as it degrades, which can contaminate soil and water systems.",,Polycarbonate plastic is best spot cleaned with a gentle soap and warm water. Dry and polish with a soft towel or chamois cloth. ,,"When it degrates, polycarbonate plastic sheds microplastic debris that pollute our soil and water streams. Microplastics become embedded in animal tissue, which is extremely harmful to animal life, acquatic ecosystems and humans that consume seafood. 

",,"https://oceanwaves.com/blogs/news/plastic-vs-polycarbonate-lenses-which-one-is-better
"
Natural Rubber (Latex),Plant Based,Rubber Plant,Semi-Synthetic,Renewable,Recyclable,Not Biodegradable,Microplastic Pollutant,"Latex is a lightweight, durable, water-resistant material that's often used for gloves, swim caps, sporting goods and garments. ",,"Although latex is a natural material derived from the rubber plant, it is treated with chemicals like ammonia, tetramethyl thiuram disulfide and zinc to prevent bacterial biodegredation. This means that most latex products are not biodegradable and will shed microparticles that contaminate soil and water systems. ",,Latex is best spot cleaned with a gentle soap and warm water. Do not use petroleum-based solvents as they will cause latex to degrade. Never put latex in the dryer or hang dry in the sun. Latex is sensitive to heat and will corrode when exposed to temperatures over 82 degrees farenheight.  ,,"Because rubber trees are not cut down for latex harvesting, most latex can be sourced without the risk of deforestation. However, latex production can result in monocolture farming, which harms biodiversity and soil health. It's crucial to ensure our forests are responsibly managed, and that our latex products are sourced from responsible supply chains. ","Latex is a natural material derived from the rubber tree, and is tapped through a process called ""bleeding"". Because rubber trees are not cut down for latex harvesting, most latex can be sourced without the risk of deforestation. However, latex production can result in monocolture farming, which harms biodiversity and soil health. It's crucial to ensure our forests are responsibly managed, and that our latex products are sourced from responsible supply chains. ","https://www.aceprodcon.com/what-is-latex-made-of/

https://www.nytimes.com/1990/04/01/nyregion/l-balloons-effect-on-the-environment-867890.html 

https://www.dezeen.com/2020/12/01/latex-natural-rubber-sustainable-material-fashion-design/ "
Aluminium,Metal ,Mined Ore,Natural,Non-Renewable,Recyclable,Not Biodegradable,Not a Microplastic Pollutant,,,,,,,,,
Brass,Metal ,Mined Ore,Synthetic,Non-Renewable,Recyclable,Not Biodegradable,Not a Microplastic Pollutant,,,,,,,,,
Chromium,Metal ,Mined Ore,Natural,Non-Renewable,Recyclable,Not Biodegradable,Not a Microplastic Pollutant,,,,,,,,,
Copper,Metal ,Mined Ore,Natural,Non-Renewable,Recyclable,Not Biodegradable,Not a Microplastic Pollutant,,,,,,,,,
Gold,Metal ,Mined Ore,Natural,Non-Renewable,Recyclable,Not Biodegradable,Not a Microplastic Pollutant,,,,,,,,,
Iron,Metal ,Mined Ore,Natural,Non-Renewable,Recyclable,Not Biodegradable,Not a Microplastic Pollutant,,,,,,,,,
Lead,Metal ,Mined Ore,Natural,Non-Renewable,Recyclable,Not Biodegradable,Not a Microplastic Pollutant,,,,,,,,,
Nickel,Metal ,Mined Ore,Natural,Non-Renewable,Recyclable,Not Biodegradable,Not a Microplastic Pollutant,,,,,,,,,
Platinum,Metal ,Mined Ore,Natural,Non-Renewable,Recyclable,Not Biodegradable,Not a Microplastic Pollutant,,,,,,,,,
Silver,Metal ,Mined Ore,Natural,Non-Renewable,Recyclable,Not Biodegradable,Not a Microplastic Pollutant,,,,,,,,,
Steel,Metal ,Mined Ore,Synthetic ,Non-Renewable,Recyclable,Not Biodegradable,Not a Microplastic Pollutant,,,,,,,,,
Tin,Metal ,Mined Ore,Natural,Non-Renewable,Recyclable,Not Biodegradable,Not a Microplastic Pollutant,,,,,,,,,
Titanium,Metal ,Mined Ore,Natural,Non-Renewable,Recyclable,Not Biodegradable,Not a Microplastic Pollutant,,,,,,,,,
Zinc,Metal ,Mined Ore,Natural,Non-Renewable,Recyclable,Not Biodegradable,Not a Microplastic Pollutant,,,,,,,,,
